name,bio,location,investment_stages,investment_markets,portfolio_companies
Aanand Radia,"Aanand Radia is a Managing Director at University Ventures. Prior to University Ventures, Aanand was a private equity investor at BlackRock, the world’s largest asset manager, where he focused on Financial Services and Special Situations. Prior to BlackRock, Aanand worked at EdisonLearning (formerly Edison Schools), an early pioneer in the charter school movement and later a diversified K-12 education technology and services company, where he focused on corporate strategy, business development, new product and finance initiatives. While at Edison, Aanand helped to develop an alternative education product offering delivered through a hybrid/blended learning environment. Aanand started his career at Patriot Capital, a middle market private equity firm, where he made investments across a broad range of industries. Aanand received his B.S. in Economics from Carnegie Mellon University. “Aanand helps lead the firm’s investment in Galvanize, Revature, and the firm’s student finance related investments.",new-york-new-york,,edtech,
Aanaya Arora,"AANAYA ARORA PROVIDES CONSULTING FOR: - AFFORDABLE INTERNATIONAL MEDICAL TOURISM TO CLIENT`S FROM ALL OVER THE WORLD AND SERVICES IN 106 COUNTRIES. - BUSINESS CONSULTING, IMMIGRATION SERVICES, EDUCATION CONSULTING, COMPANY FORMATION, BANK ACCOUNT OPENING, VIRTUAL OFFICES, VOIP SERVICES, OFFSHORE CONSULTING, TRADEMARK REGISTRATION, LEGAL SERVICES,HUMAN RESOURCES, IT SOLUTIONS AND MUCH MORE IN 109 COUNTRIES. For More Details Please Visit https://www.nitinaroras.com",united-kingdom,"crowdfunding, late_stage_venture, private_equity, venture",,
Aan Kreasinova,"Hey, I’m Kreasinova. I’m a photographer living in magelang. I am a fan of photography",magelang-jawa-tengah,private_equity,,
Aan Setyawan,"Aan Setyawan is Full-Time Blogger, Internet Marketer & Entepreneurship since 2016.

He live in Depok, Indonesia and use 60% daily time  to improve blogging skill, trading and internet marketing and other self improvement  40% for life relation. He also run business ecommerce to sell cow, tool kits, clothes, food products, and serve service in advertising, conten marketing, amd linkbuilding,",,secondary_market,,
Aaref Hilaly,"Aaref Hilaly is a Founder and Partner at Bain Capital Ventures. Aaref previously worked at CenterRun as a Founder and CEO. He attended Harvard Business School, McGill University, and University of Oxford.

Aaref works with enterprise, internet, and mobile companies. Prior to joining [Sequoia Capital](http://www.sequoiacap.com) in 2012, he was the CEO of [Clearwell](http://www.crunchbase.com/organization/clearwell-systems), a leading provider of analytics software for electronic discovery. Aaref grew Clearwell from a handful of engineers into a profitable company with an annual revenue run-rate of over $100 million, leading to its acquisition by Symantec in 2011.

Prior to that, Aaref was the Founder and CEO of CenterRun, a pioneer in datacenter automation, which was acquired by Sun Microsystems.

Aaref holds an MBA from Harvard Business School, a Masters degree in Economics from McGill University, and BA degree from Oxford University. (Sequoia Capital)",san-francisco-california,"Seed, Series B+, seed, Series A","saas-enterprise,fintech,ai-ml,iot-hardware,cloud-infrastructure","Clari, Tecton"
Aare Järvan,,brussels-brussels-hoofdstedelijk-gewest,seed,,
Aariya Rafi,"Aariya Rafi is a Serial Entrepreneur, Author and He is the Founder & CEO of RankFame, a Result-Driven PR Agency. He Works with Six-Figure Business Owners and helps them to Attract Dream Clients, Become Industry Leaders And Dominate Google First Page.",,private_equity,,
Aarjav Trivedi,"Aarjav is the founder and CEO of RideCell. Before RideCell, Aarjav worked in engineering at SpiDynamics (Acquired by HP) and as a research engineer at CipherTrust and Secure Computing (Acquired by McAfee) where he helped invent and ship security systems used by over 40% of the Fortune 500 as well as the Pentagon. Aarjav has a Masters degree in Computer Science from Georgia Tech and a Bachelors in in Computer Science from University of Mumbai.",san-francisco-california,seed,,
Aarna Patil,"Independent Escorts: Mumbai's independent escorts are highly educated and speak several languages. They can converse with high-profile clients and suggest various issues for them. Some of these girls are even members of the high-class social crowd. Whether you're planning an extravagant evening for two or are simply looking for a little adventure, these call girls will satisfy your needs and keep you satisfied.",mumbai-maharashtra,venture,,
Aaron Allon,"Aaron Allon is the Senior Product Manager, at Amazon Transportation Services of Amazon. He attended Columbia Business School.",new-york-new-york,seed,,
Aaron Allsbrook,"Aaron Allsbrook, ClearBlade CTO and product visionary for the ClearBlade Platform and EDGE brings decades of application tooling development and runtime experience to the emerging technologies in the Internet of Things.  Early on, Aaron engineered software at IBM building scalable performant platforms for developers to design, develop, and execute modern workloads.  As a practitioner, Aaron began working in the field with enterprises to enable cutting edge solutions while leveraging existing technical assets. Today he provides a depth of expertise necessary to understand the challenges, opportunities and transitions required for large Enterprises to engage with the IoT.",austin-texas,seed,,
Aaron Applbaum,,tel-aviv-yafo-tel-aviv,"seed, convertible_note, early_stage_venture, venture","saas-enterprise,ai-ml,iot-hardware,cloud-infrastructure,logistics-supply-chain",
Aaron Asher,,,seed,,
Aaron Barr,Aaron Barr is a Co-Founder and Chief Technology Officer at PiiQ Media. He attended Colorado Technical University.,seattle-washington,,,
Aaron Batalion,"Aaron Batalion is a hacker, entrepreneur, public speaker, senior technology leader, and the co-founder and CTO of LivingSocial, an online marketplace that trades deals on various products and services. Prior to that, he worked at Blockbuster, RevolutionHealth, and HungryMachine. Batalion is a regular speaker on technology and entrepreneurship at conferences such as SxSW, Tech Cocktail, RailsConf, and more. He also invests in and advises startups on product, technology, and growth.


Batalion received a B.S. in Computer Science and a B.A. in Asian Studies, with a concentration in Japanese language and religion from Lehigh University.


Aaron Batalion lives in San Francisco.",san-francisco-california,seed,"saas-enterprise,ecommerce-retail,iot-hardware,marketing-adtech,gaming",
Aaron Benway,"Aaron holds long-standing interests on such diverse topics as mutual funds, behavior psychology, nutrition, and US government food policy. HSA Coach represents an opportunity to make consumer health plans, and in particular, health savings accounts (HSA’s), work, while integrating with people's broader financial lives. With a particular emphasis on financial wellness, Aaron is passionate about enabling everyone to live the life they want through daily decisions that support their vision. Aaron has an electrical engineering degree from the US Naval Academy and an MBA from Harvard Business School.",mclean-virginia,,,
Aaron Bertinetti,"Aaron Bertinetti is responsible for Glass Lewis’ research and engagement activities across all markets globally and is a member of Glass Lewis’ executive leadership team. He leads a staff of more than 200 across seven global locations that annually publishes research on approximately 25,000 meetings and engages with more than 3,000 companies. Aaron originally joined Glass Lewis in 2008 via the Australian subsidiary, CGI Glass Lewis, specializing in research, engagement and business development to expand the Australian client base and operations. He ultimately served as General Manager of CGI Glass Lewis for 2 years before being promoted in 2015 to head Glass Lewis’ global research and engagement operations and relocating to San Francisco. 

He is an angel investor in dozens of technology-focused startups, non-executive chairman of private gaming company Surprise Attack and an advisor to the venture capital firm and startup accelerator Capital Pitch. 

He has a Bachelor of Economics from the University of Sydney and is a graduate of the Future Directors Institute.",san-francisco-california,seed,"saas-enterprise,fintech,media-entertainment,robotics-automation,gaming",
Aaron Bhatnagar,"Aaron Bhatnagar is an investor and venture capitalist based in Auckland, New Zealand. Aaron invests significant funds in early growth businesses ready to commercialise their offerings to the market.",auckland-auckland,,,
Aaron Bird,Aaron Bird is the Founding Partner at Pienza. He is also a Co-Founder and Board Chair at Inflection.io.,seattle-washington,seed,,
Aaron Block,"Aaron is Co-Founder and Managing Partner of MetaProp, a New York-based venture capital firm focused on the real estate technology (“PropTech”) industry. Founded in 2015, MetaProp’s investment team has invested in 100+ technology companies across the real estate value chain. The firm manages multiple investment funds for both financial and strategic real estate investors representing a pilot- and test-ready sandbox of 15+ billion square feet across every real estate asset type and global market.

Aaron served as Chairman of Chicago-based BayRu, LLC, the US-Russia ecommerce shopping and shipping specialist and eBay.com’s exclusive drop shipping partner for Russia/CIS consumers. After Aaron joined the company in 2010 as an investor and CEO, BayRu grew to become the 8th largest international online retailer in Russia. In 2013, BayRu was #11 on the Inc5000 “Top 100 Retail Companies” list and was named “Exporter of the Year” by the official export promotion magazine of the U.S. Department of Commerce.

Prior to BayRu, Aaron was a commercial real estate executive with Cushman & Wakefield and oversaw more than 270 professionals as leader of the Chicago region. Aaron received numerous honors and awards during his real estate career including Top Producer, Most Creative Deal, Agency of the Year and Most Promising Brokerage Professional.

Aaron has a BA from the Univesity of Illinois and an MBA from DePaul University. He is co-author of PropTech 101 (proptech101.com) published by Advantage Media. He has also been featured in dozens of international publications and media including The Wall Street Journal, Forbes, Yahoo Finance, Chicago Tribune, Crain’s, CBS Radio, The Moscow Times, RIA Novosti, RBK, Vedomosti, and Kommersant.

Outside of work, Aaron served as a board member of numerous organizations including Young Presidents Organization (“YPO”), New York City Community Board Five, and Friends of the Chicago River. In addition to English, Aaron also enjoys speaking Spanish and Russian.",new-york-new-york,"late_stage_venture, Pre-Seed, venture, Series A, Seed, seed, early_stage_venture",real-estate,
Aaron Burcell,"Aaron Burcell  is the Managing Director, Growth & Digital Marketing at Roc360. He attended Stanford University.",san-francisco-bay-area-california,,,
Aaron Chatterley,"Aaron Chatterley is Co-Founder of Europe’s largest online beauty retailer feelunique. He is also an active investor, advisor and NED in several tech and disruptive businesses.

He was voted one of the 50 most powerful people in Online Retail for 2014 by Retail Week, IoD Director of the Year for a Large Organisation 2013 and finalist in the UK Ernst & Young Entrepreneur of the Year 2012. 
",jersey,,,
Aaron DeBevoise,"Aaron DeBevoise serves as Chairman, CEO and Founder at Network of One, the leading data science and technology company discovering, valuing and investing in digital content at scale. Over the last two years, the company has built the largest cross platform database measuring human behavior specific to video, audio and images. Network of One currently tracks over 1 trillion data points measuring human intent of over 2 billion annual uniques. Network of One’s technology platform is focused on predicting viewership of any digital asset and as a result, the company expects to invest over $300 million over the next 12 months to empower content creators. DeBevoise is a recognized industry leader and pioneer in the next generation of digital content. As an entrepreneur and founder of multiple venture-backed technology companies, his expertise spans across content creation, digital marketing, predictive analytics, big data systems, data visualization and business intelligence. Prior to Network of One, for over eight years, DeBevoise was Co-Founder and EVP of Network Programming at Machinima, the original Multi-Channel Network with over 3 billion monthly views and 250 million monthly unique visitors. Additionally, DeBevoise co-founded StyleHaul in 2010, the largest global fashion and style community of content creators, which in 2014 was acquired by RTL Group, the European TV and radio conglomerate, for $200 million. Prior, DeBevoise spent five years at JPMorgan Entertainment Industries Group, where he leveraged large data sets and predictive analytics to deploy nearly $7 billion of deficit-financing for independent production companies creating films such as “The Dark Knight” and “Superman.” DeBevoise graduated Magna Cum Laude and Phi Beta Kappa from Williams College with a B.A. in Economics. He currently resides in Los Angeles with his wife and two children.",los-angeles-california,seed,,
Aaron Dignan,Aaron Dignan is the Co-Founder and Chief Executive Officer of Plumb. He previously worked at Undercurrent as a Chief Executive Officer. Aaron Dignan attended the University of Colorado Boulder.,new-york-new-york,seed,,
Aaron Doades,,new-york-new-york,seed,,
Aaron Dungca Needham,"Aaron Dungca Needham  enjoy listening to podcasts that entertain and teach me about my surroundings.  Podcasts like, StarTalk, Mysterious Universe, Brain Science, TED Education, TED Science and Medicine, Ed Mylett Show, Stuff to Blow Your Mind, Joe Rogan Experience, and Myths and Legends.",greater-boston-area,initial_coin_offering,,
Aaron Endré,"10+ years of experience helping dozens of growth-stage tech companies get to the next level. The results include 9+ startup acquisitions by the likes of Facebook, Oracle, and Citrix and more than $2 billion in VC funding raised to date. Endré Communications is the winner of the 2020 Public Relations and Marketing Excellence Award from the Business Intelligence Group.",san-francisco-california,,,
Aaron Everhart,"Aaron is a commercialization, communications, and tech expert serving clients since 1995, mostly for WPP companies Grey and Landor. He founded a boutique communications agency in Vietnam in 2005, now named ABLINK. He founded HATCH! for entrepreneurs in Vietnam in 2012 (acquired by Draper Startup House International (Singapore) in 2021). HATCH! has supported 1,000’s of founders in Southeast Asia, and continues its mission today as Draper Startup House Vietnam. He has been a top-rated mentor for Founder Institute cohorts since 2014.",da-nang-na---vietnam,"convertible_note, seed, non_equity_assistance, private_equity, early_stage_venture","saas-enterprise,travel-hospitality",
Aaron Fjellman,"Aaron Fjellman (Born on 7th November 1976 in Lake Arrowhead,  California) is an American writer and director. Recently, he made his feature film debut with Caged, a psychological thriller about the horrific, mind-bending effects of solitary confinement. The film stars Edi Gathegi (X-men First Class), Melora Hardin (The Office), and Angela Sarafyan (Westworld).

Born and raised in Southern California, he attended film school at the Academy of Art University in San Francisco. After college, he moved back to Los Angeles and began his career as a director, working on music videos, commercials, and digital shorts with an array of American and European clients. His short-form work garnered opportunities to travel the world, forging significant friendships and loyal business partners along the way. A boyhood infatuation with genre filmmaking influences his project choices and distinct visual style to this day. Little did he know that an obsession with pop culture's dark side would one day fuse with his desire to promote meaningful social change through art.

Telling stories without limits that explore social issues in unexpected ways has become more than just the byline of his CV. It's a personal mantra at his newly formed production company Panic House Films (co-founded with Caged producer Pete Kirtley), and a worthy litmus test for the projects he intends to pursue in the future.",los-angeles-california,,,
Aaron Florence,"Founder of Brimstone - UXO and former British Army officer, Aaron quickly established Brimstone as the fastest growing UXO company and only privately owned company to be government assured for explosive ordnance disposal activities in the UK.",united-kingdom,,,
Aaron Frank,"As a born-again fintech evangelist, Aaron manages Final's relationships with partners and investors, and explores the effects of new technology on personal payments. As a former IBM’er and then employee #1 of Techstars company Simple Energy, Aaron built the engineering team and architecture to deliver utility data to millions of users around the country. He holds BAs from the University of Maryland in Math and Physics.",oakland-california,,,
Aaron Fu,"Aaron has 10+ years of global experience building, scaling and investing in technology products in corporate and startup environments. He has co-founded both B2B & B2C businesses, in Africa - he has led seed stage equity investments in 20+ startups (totaling $2m+), driven the exit of 3 startups in Africa, he also sits on the board of of startups ranging from AgriTech to Transport and has worked with 100s through partners like Visa, MTN, Airbus, Société Générale and the World Bank.

Prior to the Catalyst Fund, he was the Managing Director of MEST, Africa’s Largest Pre-Seed Incubator, and Managing Partner for Africa at Nest.vc, a Hong Kong based fund, which he joined after a career in financial services.",nairobi-nairobi-area,seed,,
Aaron Fyke,Aaron Fyke is the Founder & Managing Partner at Thin Line Capital.,los-angeles-california,,,
Aaron Galvin,"Aaron Galvin is the Founder of Luxury Living, a vertically integrated, Chicago-based residential real estate company offering boutique brokerage services balanced with best-in-class multifamily consulting, marketing, leasing, and development.

Under his leadership, which began in 2007, the firm has captured the leasing and renewal of 27,000 apartments, $200 million in for-sale condos and homes, and the generation of $10 billion in capitalized value for multifamily developers and owners. 

The company’s growth has been recognized as an Inc. 5000 fastest-growing company on six occasions and was also highlighted on Financial Times' fastest growing companies in America list. Additionally, Luxury Living has been consistently recognized for its marketing and consulting work, earning numerous awards from the Chicagoland Apartment Association (CAA), Multi-Housing News, GlobeSt, and more.

Day-to-day, Aaron is focused on strategic growth, with an emphasis on expanding Luxury Living’s portfolio of Class A multifamily properties where the company has an ownership stake. He also provides consulting and third-party leasing for Chicago’s most prominent multifamily developers and capital partners.

Aaron is a trusted expert in the multifamily industry. His thought leadership has been featured in The Wall Street Journal, Insider, Crain’s Chicago Business, The Chicago Tribune, NBC Nightly News, The Real Deal, Multifamily Executive, and numerous other outlets. He has earned top industry and business accolades, including winning Executive of the Year at the 2022 Illinois Real Estate Journal Awards and being named a Crain’s Notable Entrepreneur in 2019. He is also a member of the Chicagoland Apartment Association Multifamily Preview planning committee and the Urban Land Institute. 

Furthermore, Aaron is an early-stage investor and advisory board member for a number of real estate technology companies.

A graduate of Miami University (OH) — where he studied public relations and marketing — Aaron’s passion has always been interacting with people and helping others achieve success.

He is an avid tennis and pickleball player and cyclist. Above all, he loves to spend time with his wife, Amy, and their two daughters.",chicago-illinois,,,
Aaron Gershenberg,"Aaron Gershenberg is a founder of Silicon Valley Bank’s fund of funds and direct investment group, SVB Capital. Aaron joined SVB in 1999 and has been part of the venture capital industry since 1996. Under his leadership, the group has over $1.7 billion under management across fund of funds, direct funds and separate accounts. Aaron’s expertise is evaluating venture capital funds and growth funds globally. He has published numerous articles on the health and future of venture capital and is frequently invited to speak as well as participate on panels across the globe.

Prior to joining SVB, Aaron oversaw the opening of FirstCorp’s Northern California office, a venture leasing company focused on early stage companies. In this capacity, Aaron was responsible for providing venture financing to more than 50 startup technology companies. Previously, Aaron was part of the investment banking group for Union Bank of California and the real estate consulting practice of Deloitte & Touche.

Aaron earned a bachelor’s degree in Economics and African Studies from Wesleyan University and a master’s degree in finance from the John F. Kennedy School of Government at Harvard University.

Aaron combines his passion for philanthropy with his love of the outdoors. In 1984 he joined 50 students biking from Boston to Los Angeles, raising money for Oxfam America. In 1993, Aaron was a founder of the Hearst Castle Best Buddies ride, a 100 mile ride from Carmel to the Hearst Castle benefiting the intellectually and developmentally disabled. This is his 10th consecutive year of participation. SVB team had 245 members and raised over $600,000.00 Aaron serves as a board member of Best Buddies International.",menlo-park-california,,,
Aaron Gillum,Aaron Gillum is a Senior Vice President in the Private Equity Group at 50 South Capital Advisors. He is responsible for sourcing and analyzing venture capital partnership investment opportunities in the U.S. Aaron is also responsible for fundraising activities and portfolio management.,chicago-illinois,,,
Aaron Giroux,"Aaron Giroux is Chairman of AuraLife, helping to advise on strategy, business development, and capital raising initiatives.",newport-beach-california,seed,,
Aaron Golbin,"Aaron Golbin is the Founder and Chief Executive Officer of The American Post and DebateIsland.com.

An entrepreneur and investor with experience in the Internet, Media, and Financial Technology (Fintech) sectors, Aaron has over 7 years in successfully leading startups and companies, running business units and functions, and creating revolutionary products and units utilizing Artificial Intelligence (AI) and technology. He utilizes an innovation, product, technology, and strategy-oriented attitude to significantly develop and grow the ventures he participates in and has expertise in efficiently hiring diverse and capable teams.

Golbin currently leads The American Post, a speedily-growing startup that offers the first and only online platform that enables people to discover curated opinion articles on a wide-range of political topics and also publishes fact-based, nonpartisan pieces. Additionally, he heads DebateIsland.com: once a small venture started by him in 2016 at the age of 12, which is now a global technology enterprise that’s the largest online debate platform in the world, pioneering innovative AI products, casual online debating, and an award-winning Education Technology (EdTech) solution, all grown with virtually no advertisement spending.

In 2021, Aaron joined POWAN Initiative, a ~100 person 501(c)(3) nonprofit organization that is revolutionizing education by introducing free, live, and personalized online education to K-12 students for a variety of topics, academic and personal, to lead their strategy function. There, he spearheaded its successful pivot in mid-2021, helped increase its consumer unit’s strategic partnerships, develops organizational strategies, and is involved in program management.

Golbin is also a Strategic Advisor in UpNext, a Fintech startup that operates a Decentralized Finance (DeFi)-powered application for entrepreneurs to raise capital for, and grow, their venture.

Before joining POWAN, Aaron was the Chief Technology Officer and Director of Strategy at Hatchr — an organization he co-founded — and was the Board Member and Director of Organizational Strategy and Operations at iDEA, an entrepreneurship-focused nonprofit organization.

Golbin, experienced in business, entrepreneurship, finance, politics, cryptocurrency, DeFi, AI, and FinTech, has been featured twice in Forbes and Inc., MSN Money, Bold TV, and many other media outlets. He’s also a frequent writer, with his work being in The American Post, the United States Holocaust Memorial Museum, and other entities, and often participates in Podcasts.",washington-dc-metro-area,,,
